Date,Open,High,Low,Close,Adj Close,Volume
2011/5/23,47.138573,47.997143,47.060001,,31.854137,95900000
2011/5/24,47.92857,47.985714,47.334286,,31.643616,80481800
2011/5/25,47.632858,48.365715,47.549999,,32.080837,73556000
2011/5/26,47.995716,48.127144,47.775715,,31.911287,55640200
2011/5/27,47.828571,48.232857,47.758572,,32.140858,50899800
2011/5/31,48.728573,49.689999,48.714287,,33.133434,104438600
2011/6/1,49.83857,50.304287,49.235714,,32.912437,138670700
2011/6/2,49.5,49.71143,49.185715,,32.968647,84695800
2011/6/3,49.025715,49.332859,48.85857,,32.715263,78312500
2011/6/6,49.385715,49.578571,48.258572,,32.200867,115485300
2011/6/7,48.310001,48.317142,47.414288,,31.629322,132446300
2011/6/8,47.397144,47.828571,47.235714,,31.648376,83430900
2011/6/9,47.607143,47.667141,47.25,,31.576935,68772200
2011/6/10,47.221428,47.380001,46.501427,,31.044445,108488800
2011/6/13,46.742859,46.901428,46.438572,,31.111126,82368300
2011/6/14,47.142857,47.607143,47.044285,,31.667425,83642300
2011/6/15,47.107143,47.185715,46.41143,,31.125412,99799000
2011/6/16,46.700001,46.954285,45.475716,,30.973942,127647800
2011/6/17,46.998573,47.035713,45.622856,,30.507185,153755000
2011/6/20,45.337143,45.385715,44.357143,,30.036621,160161400
2011/6/21,45.240002,46.542858,45.028572,,30.987289,123345600
2011/6/22,46.451427,46.985714,46.054287,,30.731043,97645800
2011/6/23,45.562859,47.384285,45.445713,,31.552164,139939800
2011/6/24,47.33857,47.592857,46.441429,,31.087305,109951800
2011/6/27,46.798573,47.700001,46.75,,31.629322,84953400
2011/6/28,47.664288,48.099998,47.634285,,31.936058,73574900
2011/6/29,48.005714,48.052856,47.41143,,31.819839,88136300
2011/6/30,47.814285,48.01857,47.548573,,31.975109,80738700
2011/7/1,47.992859,49.07143,47.742859,,32.698116,108828300
2011/7/5,49,49.975716,48.92857,,33.285854,88763500
2011/7/6,49.849998,50.585712,49.529999,,33.507801,111156500
